H.P,ML.PACo.resid,ML.PACo.median,ML.PACo.1.5IQR,ML.ParaFit.F1,ML.ParaFit.p,ML.ParaFit.sig,ML.overlap.PACo.resid,ML.overlap.PACo.median,ML.overlap.PACo.1.5IQR,ML.overlap.ParaFit.F1,ML.overlap.ParaFit.p,ML.overlap.ParaFit.sig,BEAST.PACo.resid,BEAST.PACo.median,BEAST.PACo.1.5IQR,BEAST.ParaFit.F1,BEAST.ParaFit.p,BEAST.ParaFit.sig,BEAST.overlap.PACo.resid,BEAST.overlap.PACo.median,BEAST.overlap.PACo.1.5IQR,BEAST.overlap.ParaFit.F1,BEAST.overlap.ParaFit.p,BEAST.overlap.ParaFit.sig,Carrier
Carollia.castanea-KJ816686,0.028941934,1,1,0.122809433,0.00129987,1,0.374164383,0,1,0.532994769,0.00059994,1,0.056777581,1,1,0.256696875,9.999E-05,1,0.351918912,0,1,0.362136352,9.999E-05,1,ectoparasite
Phyllostomus.hastatus-KJ816665,0.026513727,1,1,0.100417196,0.00029997,1,0.230161009,1,1,0.759849975,9.999E-05,1,0.053149421,1,1,0.270044341,9.999E-05,1,0.217355285,1,1,0.63873159,9.999E-05,1,ectoparasite
Micronycteris.microtis-KJ816681,0.032265369,1,1,0.016651353,0.141885811,0,0.379400163,0,1,0.11890878,0.04289571,1,0.107547963,0,1,0.187222658,9.999E-05,1,0.263342521,1,1,0.263164898,9.999E-05,1,ectoparasite
Sturnira.lilium-KJ816673,0.043325006,0,1,0.061780095,0.02639736,1,0.345089759,0,1,0.618614558,9.999E-05,1,0.129633014,0,1,0.207317898,9.999E-05,1,0.348608936,0,1,0.499032754,9.999E-05,1,ectoparasite
Myotis.keaysi-KJ816676,0.134284803,0,0,-0.015379687,0.95160484,0,0.323197444,0,1,0.363259269,0.00519948,1,0.248540486,0,0,-0.002757496,0.704329567,0,0.370115486,0,1,0.21552488,0.00049995,1,bat
Myotis.keaysi-KJ816669,0.108343301,0,1,0.053578228,0.01949805,1,0.466843439,0,1,0.225976476,0.02229777,1,0.264542295,0,0,-0.012573038,0.802919708,0,0.485598418,0,1,0.213456987,0.00149985,1,ectoparasite
Myotis.keaysi-KJ816667,0.105092223,0,1,0.046182919,0.00329967,1,0.455144729,0,1,0.019409691,0.883311669,0,0.122717597,0,1,0.18001538,9.999E-05,1,0.399635273,0,1,0.0933422,0.073792621,0,ectoparasite
Sturnira.lilium-KJ816679,0.027940946,1,1,0.018943429,0.257474253,0,0.365266101,0,1,0.217612402,0.00269973,1,0.098553963,0,1,0.222362355,9.999E-05,1,0.277400294,1,1,0.560513765,9.999E-05,1,ectoparasite
Uroderma.bilobatum-KJ816692,0.032039956,1,1,0.162647712,0.00029997,1,0.246644939,1,1,1.099205711,9.999E-05,1,0.079519721,1,1,0.25780135,9.999E-05,1,0.253658108,1,1,0.622482602,9.999E-05,1,ectoparasite
Uroderma.bilobatum-KJ816677,0.068896825,0,1,0.023679785,0.111988801,0,0.358277659,0,1,0.2089165,0.0019998,1,0.121479544,0,1,0.222662024,9.999E-05,1,0.291663817,0,1,0.560991714,9.999E-05,1,ectoparasite
Sturnira.lilium-KJ816670,0.023846867,1,1,0.078969642,0.00219978,1,0.241317715,1,1,0.781659031,9.999E-05,1,0.104340685,0,1,0.254534297,9.999E-05,1,0.241720113,1,1,0.637997729,9.999E-05,1,ectoparasite
Myotis.keaysi-KJ816689,0.100822259,0,1,0.072406612,2.00E-04,1,0.495517607,0,1,-0.099169128,0.998400159984002+L187,0,0.106622063,0,1,0.228021498,9.999E-05,1,0.486483926,0,1,0.06777208,0.213478652,0,ectoparasite
